date;CF1 Index;DM1 Index;EO1 Index;ES1 Index;FA1 Index;FFB1 Index;FFD1 Index;FT1 Index;GX1 Index;HC1 Index;HI1 Index;HWA1 Index;HWB1 Index;IB1 Index;IFB1 Index;IFD1 Index;KM1 Index;MES1 Index;MX1 Index;NH1 Index;NI1 Index;NK1 Index;NO1 Index;NQ1 Index;PT1 Index;RTY1 Index;SM1 Index;ST1 Index;TP1 Index;UX1 Index;VG1 Index;XB1 Index;XP1 Index;Z 1 Index
1988-02-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-02-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
1988-03-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0
